City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
164,Gao,16.6362,1.637,74.91,13,35,11.68,ML,scattered clouds
165,Grand Gaube,-20.0064,57.6608,73.8,77,15,5.01,MU,few clouds
166,Oranjemund,-28.55,16.4333,57.36,88,5,9.64,NA,clear sky
167,Qaanaaq,77.484,-69.3632,-0.09,85,100,2.06,GL,overcast clouds
168,Isangel,-19.55,169.2667,84.34,74,100,8.61,VU,overcast clouds
169,Ilulissat,69.2167,-51.1,19.69,95,100,5.17,GL,overcast clouds
170,Talnakh,69.4865,88.3972,-2.79,99,100,5.79,RU,light snow
171,Beira,-19.8436,34.8389,75.29,100,40,3.44,MZ,scattered clouds
172,Buala,-8.145,159.5921,81.95,80,100,5.61,SB,moderate rain
173,Fershampenuaz,53.5202,59.8117,-5.53,94,5,4.76,RU,clear sky
174,Arlit,18.7369,7.3853,73.2,16,6,6.85,NE,clear sky
175,Touros,-5.1989,-35.4608,78.37,76,4,15.12,BR,clear sky
176,Saint-Philippe,-21.3585,55.7679,74.79,85,92,9.19,RE,light rain
177,Barra Patuca,15.8,-84.2833,77.65,85,20,12.01,HN,moderate rain
178,Tatarsk,55.219,75.9828,-8.73,91,95,4.7,RU,overcast clouds
179,Homburg,49.3167,7.3333,36.88,81,100,12.66,DE,overcast clouds
180,Nhlangano,-27.1167,31.2,58.41,95,100,3.53,SZ,light rain
181,Amapa,1.0,-52.0,70.21,99,100,1.52,BR,overcast clouds
182,Cape Town,-33.9258,18.4232,61.88,70,20,14.97,ZA,few clouds
183,Maltahohe,-24.8333,16.9833,68.76,14,0,7.43,NA,clear sky
184,Ponta Do Sol,32.6667,-17.1,62.01,77,59,10.67,PT,light rain
185,Ucluelet,48.9329,-125.5528,41.31,84,7,8.14,CA,clear sky
186,Palembang,-2.9167,104.7458,78.89,94,40,0.0,ID,scattered clouds
187,Colombo,6.9319,79.8478,73.35,84,97,4.43,LK,overcast clouds
188,Bihar,47.15,21.9167,36.1,93,20,6.91,RO,few clouds
189,Hobart,-42.8794,147.3294,68.05,69,75,11.5,AU,broken clouds
190,Skibbereen,51.55,-9.2667,44.11,81,100,10.33,IE,overcast clouds
191,Haines Junction,60.7522,-137.5108,3.15,85,18,2.3,CA,few clouds
192,Ganzhou,28.8184,115.4327,45.05,84,100,5.46,CN,overcast clouds
193,Chebsara,59.2002,38.8356,11.39,92,100,7.49,RU,overcast clouds
194,Strezhevoy,60.7333,77.5889,2.88,99,92,2.33,RU,overcast clouds
195,Tual,-5.6667,132.75,83.53,70,63,4.07,ID,broken clouds
196,Marolambo,-20.05,48.1167,67.53,99,49,0.29,MG,scattered clouds
197,Aranos,-24.1333,19.1167,70.81,12,13,4.12,NA,few clouds
198,Troitsk,54.0979,61.5773,-2.78,88,12,6.08,RU,few clouds
199,Kiama,-34.6833,150.8667,78.39,63,0,11.99,AU,clear sky
200,Slave Lake,55.2834,-114.769,19.38,63,75,9.22,CA,broken clouds
201,Walvis Bay,-22.9575,14.5053,58.08,87,0,3.49,NA,clear sky
202,Straumen,63.8709,11.2999,17.6,79,19,2.86,NO,few clouds
203,Paka,4.6374,103.4368,84.38,94,20,0.0,MY,few clouds
